iso3,country_label,disponibilite_volaille_kg_hab_an,log_population_2017,part_importations_poulet,log_production_poulet,ease_business_score,political_stability,log_gdp_per_capita,log_distance_france,langue_officielle_commune_france,log_evenements_sanitaires,signal_maturite_bio_import
NIC,Nicaragua,0.18502920046977905,-0.10559017627413828,-0.7793991703797893,0.349422556600938,-0.6950120541937624,0.00857548001499837,-0.5958820050165264,0.7832422504701292,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
NOR,Norvège,0.012516070429876194,-0.20732786955242366,-0.8687479129405707,0.1640762802711243,1.6039762329565255,1.4068734616913685,1.551068884740776,-1.3621190314557707,-0.47967540647319123,2.1021556777390056,0.5284504980767166
NPL,Nepal,-1.146174480153094,0.691923346988834,-0.8800727601329407,-0.02616983281975225,-0.22611300346167165,-0.724957887421786,-1.0972410052321933,0.5488927767747898,-0.47967540647319123,2.390507127751008,-0.47154272066012376
NZL,New Zealand,1.0815541282362036,-0.2721078963641499,-0.8861147239520956,0.5292846815774196,1.9560312184830495,1.8882547340717584,1.161383705993278,1.6582070752255926,-0.47967540647319123,-0.5194246442940337,-0.3816787941745464
OMN,Oman,0.18774594267513178,-0.27630344286993175,1.9830799804444021,-0.9253627702502704,0.46722203866931805,0.9254921893109789,0.951818511626613,0.26100291145622373,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
PAK,Pakistan,-0.8833296717852103,1.7905450401935512,-0.8859620653002825,1.250538813195415,-0.7881419146881568,-2.696328812408144,-0.8364765439145604,0.32238943890131194,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
PAN,Panama,1.0156731297563983,-0.345779781520305,-0.7184870362725216,0.48439373131661156,0.29687696516943735,0.5128796701277877,0.9494631163299966,0.7528378001490579,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
PER,Peru,-0.36646946721683965,0.7622669787317752,-0.7938686314351026,1.3072291638374227,0.40163554988243966,-0.2321151561751965,0.050549450171568804,0.9445678200816873,-0.47967540647319123,2.0171394720210443,-0.2646955946563892
PHL,Philippines,-0.33930204516331175,1.419552048555973,-0.3984525810279231,1.2512093127498725,-0.2785568550088381,-1.2865693718655742,-0.39204438776533124,0.9967581755117618,-0.47967540647319123,1.6863501750003655,-0.3512631622998255
POL,Poland,0.7765998156853517,0.8646842762961995,-0.8231465694510578,1.309512976242358,1.2164330603212237,0.6618786353883845,0.8524726563484488,-1.3409731657120354,-0.47967540647319123,3.5363777193039185,0.22195451533914484
PRT,Portugal,0.7956170111228211,0.15410986110956862,-0.5635738245521495,0.6788941839725217,1.1076233863939664,1.3495661673603698,0.9339381476561158,-1.2729019067433673,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
PRY,Paraguay,-0.8745002596178136,-0.0659593273523748,-0.8861147239520956,0.03151845378443184,-0.3831201481700769,0.06588277434599715,0.1463472188799059,0.9335370645297685,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
ROU,Romania,0.03425000807269863,0.5064448475157404,-0.27349302776071316,0.8088550024253441,0.827793995424376,0.1346515275431957,0.748654418321579,0.2491930117351129,-0.47967540647319123,0.8755348732258451,-0.12431575523460049
